patch_id,papilla_id,x,y,size,perimeter,eccentricity,redness_score,a_channel,hue,saturation
130,0,189.4,283.0,15.0,12.86396103067893,0.6601884647078374,0.37663025332137207,128.53333333333333,23.333333333333332,47.733333333333334
132,0,246.5,267.0,50.0,35.65685424949238,0.9861644867968637,0.49688979930795846,128.92,0.42,62.88
132,2,233.58823529411765,268.88235294117646,17.0,13.82842712474619,0.8236482247668296,0.44090148984486943,129.05882352941177,7.9411764705882355,55.76470588235294
132,4,228.5,270.0,16.0,12.828427124746192,0.8802566520314323,0.24874423298731257,129.25,40.875,62.875
132,7,215.5,273.0,18.0,14.828427124746192,0.7724596604515139,0.3221390158580983,129.72222222222223,71.83333333333333,81.27777777777777
132,15,249.43333333333334,280.26666666666665,30.0,27.207106781186546,0.9564291538463444,0.9838837370242215,163.6,178.46666666666667,219.4
132,16,197.0,280.0,15.0,12.828427124746192,0.5773502691896258,0.3313255585458584,130.53333333333333,75.8,83.33333333333333
132,17,240.0,280.4,25.0,17.31370849898476,0.5232115901148682,0.9854952279892348,163.44,179.0,219.88
133,0,246.0,267.0,47.0,33.65685424949238,0.9843821739867143,0.5000552456667343,128.93617021276594,0.44680851063829785,63.276595744680854
133,7,228.5,270.0,16.0,12.828427124746192,0.8802566520314323,0.24874423298731257,129.25,40.875,62.875
133,13,280.7368421052632,272.0526315789474,19.0,15.242640687119284,0.8659175640263934,0.3658177496189937,129.52631578947367,47.578947368421055,92.36842105263158
133,14,275.0,273.10526315789474,19.0,14.828427124746192,0.9062955427702903,0.5114040732256184,131.1578947368421,79.3157894736842,128.31578947368422
133,16,249.43333333333334,280.26666666666665,30.0,27.207106781186546,0.9564291538463444,0.9838837370242215,163.6,178.46666666666667,219.4
133,17,240.0,280.4,25.0,17.31370849898476,0.5232115901148682,0.9854952279892348,163.44,179.0,219.88
134,1,310.51851851851853,268.01851851851853,54.0,38.41421356237309,0.98635886322746,0.7190574375477616,129.16666666666666,19.98148148148148,90.9074074074074
134,3,299.5,269.0,16.0,12.828427124746192,0.8802566520314323,0.30541558535178776,128.875,60.125,77.3125
134,5,294.6666666666667,270.06666666666666,15.0,12.242640687119284,0.860439603151109,0.3368162330727499,129.86666666666667,32.666666666666664,84.93333333333334
134,10,280.7368421052632,272.0526315789474,19.0,15.242640687119284,0.8659175640263934,0.3658177496189937,129.52631578947367,47.578947368421055,92.36842105263158
134,11,275.0,273.10526315789474,19.0,14.828427124746192,0.9062955427702903,0.5114040732256184,131.1578947368421,79.3157894736842,128.31578947368422
135,0,315.34939759036143,268.0,83.0,57.828427124746185,0.9944944015919333,0.557973377926877,128.90361445783134,13.421686746987952,70.6144578313253
135,1,299.5,269.0,16.0,12.828427124746192,0.8802566520314323,0.30541558535178776,128.875,60.125,77.3125
135,2,340.61333333333334,269.14666666666665,75.0,52.31370849898475,0.9897514868713015,0.27644123200478454,129.33333333333334,51.84,69.85333333333334
