patch_id,papilla_id,x,y,size,perimeter,eccentricity,redness_score,a_channel,hue,saturation
125,0,253.23809523809524,281.1904761904762,21.0,14.485281374238571,0.6586748189922972,0.47218552780589357,128.47619047619048,10.761904761904763,59.857142857142854
126,0,276.6823529411765,274.71764705882356,85.0,49.071067811865476,0.9828546965348348,0.7510146009852479,128.9294117647059,24.823529411764707,95.03529411764706
126,2,261.5,277.5,18.0,13.65685424949238,0.8556725445635569,0.6261849905781727,128.44444444444446,11.333333333333334,79.38888888888889
126,4,253.66666666666666,280.5238095238095,21.0,15.31370849898476,0.7241509046010505,0.5007380206984755,128.28571428571428,13.476190476190476,63.523809523809526
126,6,250.35294117647058,283.8235294117647,17.0,13.071067811865476,0.7312954320510955,0.4642726446708679,128.35294117647058,10.352941176470589,58.88235294117647
127,0,292.5576923076923,274.5480769230769,208.0,114.72792206135784,0.9959950559514575,0.7332536188857722,128.98076923076923,21.875,92.76923076923077
127,2,261.5,277.5,18.0,13.65685424949238,0.8556725445635569,0.6261849905781727,128.44444444444446,11.333333333333334,79.38888888888889
127,3,257.5,279.1,20.0,15.65685424949238,0.40833299263941986,0.5476404459823145,129.3,8.55,69.2
128,0,305.73571428571427,274.5357142857143,140.0,78.48528137423857,0.9943155147200591,0.7164304074571004,129.03571428571428,24.40714285714286,90.62142857142857
128,1,332.63513513513516,276.8243243243243,74.0,43.071067811865476,0.9797222797174238,0.7651456075920677,128.78378378378378,26.972972972972972,96.87837837837837
128,2,344.11764705882354,278.52941176470586,17.0,12.82842712474619,0.7071067811865476,0.44019524031880203,128.64705882352942,6.176470588235294,55.76470588235294
129,0,321.70588235294116,275.29411764705884,17.0,12.82842712474619,0.708642384639249,0.3417619786906553,129.1764705882353,57.470588235294116,86.41176470588235
129,1,332.63513513513516,276.8243243243243,74.0,43.071067811865476,0.9797222797174238,0.7651456075920677,128.78378378378378,26.972972972972972,96.87837837837837
129,2,344.11764705882354,278.52941176470586,17.0,12.82842712474619,0.7071067811865476,0.44019524031880203,128.64705882352942,6.176470588235294,55.76470588235294
129,6,353.5333333333333,284.3333333333333,15.0,11.65685424949238,0.7131795312507127,0.3850715878508266,128.2,8.6,48.86666666666667
130,2,354.125,285.4375,16.0,13.071067811865476,0.635922638046644,0.43503267973856213,128.0,10.0,55.25
142,0,252.95833333333334,281.4166666666667,24.0,15.899494936611665,0.7271398646108288,0.49982026143790836,128.41666666666666,12.541666666666666,63.375
142,2,249.9375,285.375,16.0,12.449747468305834,0.8166907218838407,0.5358758650519031,128.6875,6.75,67.875
142,21,237.28205128205127,314.87179487179486,39.0,23.656854249492383,0.8940565005641409,0.23660182284616676,128.30769230769232,34.61538461538461,60.02564102564103
143,0,276.6823529411765,274.71764705882356,85.0,49.071067811865476,0.9828546965348348,0.7510146009852479,128.9294117647059,24.823529411764707,95.03529411764706
143,2,261.5,277.5,18.0,13.65685424949238,0.8556725445635569,0.6261849905781727,128.44444444444446,11.333333333333334,79.38888888888889
143,4,253.45833333333334,280.8333333333333,24.0,16.727922061357855,0.7880815488910586,0.4807607116920841,128.41666666666666,11.916666666666666,60.958333333333336
143,7,250.10526315789474,285.0,19.0,13.863961030678928,0.8378309719489138,0.560726164345484,128.57894736842104,9.631578947368421,71.05263157894737
143,26,237.28205128205127,314.87179487179486,39.0,23.656854249492383,0.8940565005641409,0.23660182284616676,128.30769230769232,34.61538461538461,60.02564102564103
144,0,292.5576923076923,274.5480769230769,208.0,114.72792206135784,0.9959950559514575,0.7332536188857722,128.98076923076923,21.875,92.76923076923077
144,2,261.5,277.5,18.0,13.65685424949238,0.8556725445635569,0.6261849905781727,128.44444444444446,11.333333333333334,79.38888888888889
