patch_id,papilla_id,x,y,size,perimeter,eccentricity,redness_score,a_channel,hue,saturation
107,0,214.6530612244898,248.46938775510205,49.0,30.656854249492376,0.9629673634926512,0.6369058643865707,128.16326530612244,24.591836734693878,80.83673469387755
107,1,203.29166666666666,249.54166666666666,48.0,28.449747468305834,0.9570871154797777,0.8304048656499635,128.41666666666666,21.666666666666668,105.29166666666667
107,6,193.375,253.4375,16.0,12.242640687119284,0.6001591575484752,0.711603229527105,128.0,28.125,90.375
108,0,214.77083333333334,248.45833333333334,48.0,29.449747468305834,0.961896530909238,0.6291726472724165,128.16666666666666,24.791666666666668,79.85416666666667
108,1,203.40816326530611,249.53061224489795,49.0,29.656854249492383,0.958327546640482,0.8340321867042136,128.40816326530611,21.53061224489796,105.75510204081633
108,5,252.15384615384616,252.4230769230769,26.0,18.44974746830583,0.8582723952372587,0.3487446111986969,128.46153846153845,35.69230769230769,88.42307692307692
108,6,224.125,253.4375,16.0,13.071067811865476,0.635922638046644,0.3244643886966551,128.125,20.625,41.1875
108,7,194.0,252.56,25.0,16.65685424949238,0.7642937864132391,0.6677062668204536,128.0,25.8,84.8
109,0,260.62264150943395,251.43396226415095,53.0,30.82842712474619,0.9575645684880263,0.7045462619533606,128.45283018867926,14.339622641509434,89.32075471698113
109,1,251.52380952380952,252.66666666666666,21.0,15.242640687119286,0.8139897096606163,0.35041886035459935,128.57142857142858,39.904761904761905,88.80952380952381
110,1,261.3829787234043,251.46808510638297,47.0,27.414213562373096,0.9453374295272112,0.7075460930251257,128.51063829787233,13.617021276595745,89.68085106382979
111,1,329.11764705882354,245.47058823529412,17.0,12.82842712474619,0.7071067811865476,0.37419810586559066,128.76470588235293,33.0,94.76470588235294
111,2,336.7916666666667,245.41666666666666,24.0,16.242640687119284,0.8415294613742684,0.6907599641163653,128.66666666666666,24.291666666666668,87.5
111,4,341.1875,246.625,16.0,12.242640687119284,0.7861611582758199,0.33093209342560553,128.75,30.9375,83.8125
111,11,349.3888888888889,249.83333333333334,18.0,14.035533905932738,0.5383769699833136,0.617822300065027,128.61111111111111,10.833333333333334,78.27777777777777
112,0,380.85,236.25,20.0,14.82842712474619,0.8113489094546613,0.7708542868127644,128.0,25.5,97.9
112,1,375.2121212121212,237.60606060606062,33.0,21.035533905932738,0.9172404628144327,0.8351015661490654,128.36363636363637,15.454545454545455,105.9090909090909
