patch_id,papilla_id,x,y,size,perimeter,eccentricity,redness_score,a_channel,hue,saturation
3,18,132.4375,44.125,16.0,12.65685424949238,0.5745710989590371,0.7209534794309881,128.0,10.8125,91.5625
3,19,129.0909090909091,48.04545454545455,22.0,17.692388155425117,0.8345424371713875,0.4013482417760492,128.54545454545453,38.86363636363637,101.72727272727273
4,15,170.5,35.0,46.0,33.31370849898476,0.9791004770524351,0.38825282409194073,129.04347826086956,78.58695652173913,98.21739130434783
4,26,183.70588235294116,39.94117647058823,17.0,14.071067811865476,0.7277390436571729,0.3706735099223216,129.05882352941177,84.70588235294117,93.76470588235294
4,28,188.8095238095238,41.42857142857143,21.0,14.828427124746192,0.7561810315349261,0.6045635683467288,128.38095238095238,15.714285714285714,76.66666666666667
4,30,132.4375,44.125,16.0,12.65685424949238,0.5745710989590371,0.7209534794309881,128.0,10.8125,91.5625
5,5,170.5,35.0,46.0,33.31370849898476,0.9791004770524351,0.38825282409194073,129.04347826086956,78.58695652173913,98.21739130434783
5,11,183.7058823529412,39.94117647058823,17.0,14.071067811865476,0.7277390436571729,0.3706735099223216,129.05882352941177,84.70588235294117,93.76470588235294
5,12,190.86111111111111,41.583333333333336,36.0,23.65685424949238,0.9385900763273024,0.3123513748273456,128.55555555555554,33.333333333333336,79.16666666666667
5,13,199.83333333333334,43.041666666666664,24.0,18.242640687119284,0.9418985136848388,0.4886582083813918,128.25,14.375,62.0
6,1,199.83333333333334,43.041666666666664,24.0,18.242640687119284,0.9418985136848388,0.4886582083813918,128.25,14.375,62.0
6,11,223.25,51.9375,16.0,13.071067811865476,0.6333411268632977,0.5983970107650903,128.625,30.0,75.8125
6,16,238.70588235294116,58.94117647058823,17.0,14.071067811865476,0.7277390436571729,0.3212720154212713,128.23529411764707,30.88235294117647,81.52941176470588
7,3,230.0,55.0,15.0,12.828427124746192,0.5773502691896258,0.6883697723097952,128.26666666666668,22.0,87.33333333333333
7,6,238.7058823529412,58.94117647058823,17.0,14.071067811865476,0.7277390436571729,0.3212720154212713,128.23529411764707,30.88235294117647,81.52941176470588
19,24,104.1875,72.625,16.0,13.071067811865476,0.7961649035520006,0.34664792387543253,128.875,53.75,87.75
19,25,102.61111111111111,77.27777777777777,18.0,13.071067811865476,0.7226591383582849,0.37037891409287016,128.66666666666666,36.666666666666664,93.83333333333333
19,26,100.3913043478261,82.08695652173913,23.0,16.65685424949238,0.8146319572685627,0.6784218662445518,128.6086956521739,21.52173913043478,85.95652173913044
19,29,96.125,92.9375,16.0,12.82842712474619,0.7516204457766111,0.530036524413687,128.25,0.0,67.25
20,0,151.93333333333334,32.86666666666667,15.0,12.82842712474619,0.8681813025685599,0.4792314750736895,128.26666666666668,11.0,60.8
20,16,132.4375,44.125,16.0,12.65685424949238,0.5745710989590371,0.7209534794309881,128.0,10.8125,91.5625
20,17,129.23809523809524,47.95238095238095,21.0,16.485281374238568,0.7970408108295692,0.40847753480477156,128.57142857142858,40.714285714285715,103.52380952380952
20,42,104.1875,72.625,16.0,13.071067811865476,0.7961649035520006,0.34664792387543253,128.875,53.75,87.75
20,43,102.61111111111111,77.27777777777777,18.0,13.071067811865476,0.7226591383582849,0.37037891409287016,128.66666666666666,36.666666666666664,93.83333333333333
20,44,100.3913043478261,82.08695652173913,23.0,16.65685424949238,0.8146319572685627,0.6784218662445518,128.6086956521739,21.52173913043478,85.95652173913044
21,0,151.93333333333334,32.86666666666667,15.0,12.82842712474619,0.8681813025685599,0.4792314750736895,128.26666666666668,11.0,60.8
21,13,170.40425531914894,34.95744680851064,47.0,33.31370849898476,0.9776263172650719,0.385341640894812,129.0212765957447,76.91489361702128,97.48936170212765
21,24,183.70588235294116,39.94117647058823,17.0,14.071067811865476,0.7277390436571729,0.3706735099223216,129.05882352941177,84.70588235294117,93.76470588235294
21,26,188.8095238095238,41.42857142857143,21.0,14.828427124746192,0.7561810315349261,0.6045635683467288,128.38095238095238,15.714285714285714,76.66666666666667
21,28,132.4375,44.125,16.0,12.65685424949238,0.5745710989590371,0.7209534794309881,128.0,10.8125,91.5625
22,5,170.40425531914894,34.95744680851064,47.0,33.31370849898476,0.9776263172650719,0.385341640894812,129.0212765957447,76.91489361702128,97.48936170212765
22,11,183.7058823529412,39.94117647058823,17.0,14.071067811865476,0.7277390436571729,0.3706735099223216,129.05882352941177,84.70588235294117,93.76470588235294
22,12,190.86111111111111,41.583333333333336,36.0,23.65685424949238,0.9385900763273024,0.3123513748273456,128.55555555555554,33.333333333333336,79.16666666666667
22,13,199.83333333333334,43.041666666666664,24.0,18.242640687119284,0.9418985136848388,0.4886582083813918,128.25,14.375,62.0
23,1,199.83333333333334,43.041666666666664,24.0,18.242640687119284,0.9418985136848388,0.4886582083813918,128.25,14.375,62.0
23,11,223.25,51.9375,16.0,13.071067811865476,0.6333411268632977,0.5983970107650903,128.625,30.0,75.8125
23,16,238.70588235294116,58.94117647058823,17.0,14.071067811865476,0.7277390436571729,0.3212720154212713,128.23529411764707,30.88235294117647,81.52941176470588
23,21,253.26666666666665,64.2,15.0,12.621320343559642,0.7587448503524079,0.6119689350249903,128.4,22.0,77.6
24,3,230.0,55.0,15.0,12.828427124746192,0.5773502691896258,0.6883697723097952,128.26666666666668,22.0,87.33333333333333
24,6,238.7058823529412,58.94117647058823,17.0,14.071067811865476,0.7277390436571729,0.3212720154212713,128.23529411764707,30.88235294117647,81.52941176470588
24,12,257.5,65.0,16.0,12.828427124746192,0.8802566520314323,0.5795790080738177,128.375,0.0,73.5
24,13,262.5882352941176,66.11764705882354,17.0,13.82842712474619,0.8236482247668296,0.5716747218597054,128.47058823529412,19.41176470588235,72.47058823529412
24,15,272.0967741935484,68.90322580645162,31.0,20.48528137423857,0.900251961885707,0.3306403004367567,128.83870967741936,48.225806451612904,83.70967741935483
24,17,280.77272727272725,71.04545454545455,22.0,17.242640687119284,0.905326834879758,0.701413633027348,128.36363636363637,22.5,88.95454545454545
25,1,262.5882352941176,66.11764705882354,17.0,13.82842712474619,0.8236482247668296,0.5716747218597054,128.47058823529412,19.41176470588235,72.47058823529412
25,3,272.0967741935484,68.90322580645162,31.0,20.48528137423857,0.900251961885707,0.3306403004367567,128.83870967741936,48.225806451612904,83.70967741935483
25,5,280.1666666666667,70.94444444444444,18.0,14.242640687119286,0.899994626486704,0.7546880829310666,128.33333333333334,27.5,95.72222222222223
25,15,289.6333333333333,74.7,30.0,19.899494936611667,0.8697269874037545,0.7395330001281559,128.33333333333334,6.5,93.8
25,18,307.8333333333333,76.0,18.0,14.035533905932738,0.632920349711353,0.5310504506813618,128.0,7.5,67.44444444444444
25,19,301.2368421052632,78.13157894736841,38.0,24.899494936611664,0.9134497597028238,0.730098097791069,128.47368421052633,5.526315789473684,92.55263157894737
26,0,339.1875,62.8375,80.0,53.65685424949238,0.9919508792583637,0.34551649365628606,128.475,42.375,87.6
26,3,321.88235294117646,68.76470588235294,17.0,13.449747468305834,0.716983711044426,0.6357616514276515,128.11764705882354,7.0588235294117645,80.70588235294117
26,12,316.8125,72.8125,16.0,13.449747468305832,0.8533024082938007,0.6540253748558247,128.0,12.1875,83.0625
26,13,290.94444444444446,74.88888888888889,18.0,14.48528137423857,0.8492025883226961,0.7494319848491323,128.33333333333334,10.833333333333334,95.05555555555556
26,16,307.8333333333333,76.0,18.0,14.035533905932738,0.632920349711353,0.5310504506813618,128.0,7.5,67.44444444444444
26,18,301.3783783783784,78.13513513513513,37.0,24.071067811865476,0.9040423344006274,0.7315906423584343,128.43243243243242,5.675675675675675,92.75675675675676
27,11,376.7368421052632,61.84210526315789,19.0,13.899494936611665,0.7917026722706746,0.5768663874218417,128.0,3.9473684210526314,73.26315789473684
27,12,342.6116504854369,62.81553398058253,103.0,65.27817459305201,0.9943814764356587,0.3497596307952209,128.40776699029126,33.05825242718446,88.69902912621359
27,15,381.0769230769231,66.3076923076923,26.0,18.727922061357855,0.8336887256282605,0.7657515429887003,128.46153846153845,2.230769230769231,97.07692307692308
28,11,377.04545454545456,62.13636363636364,22.0,16.14213562373095,0.8369571916752556,0.5975544053304356,128.0909090909091,3.409090909090909,75.86363636363636
28,12,354.5217391304348,62.73913043478261,23.0,15.621320343559642,0.8512861163601463,0.7290013365515227,128.17391304347825,0.6521739130434783,92.52173913043478
28,13,390.99029126213594,67.33009708737865,103.0,56.72792206135786,0.9847462481517748,0.6064131964297034,128.2135922330097,11.194174757281553,76.95145631067962
28,17,412.12,70.32,25.0,18.621320343559642,0.8639679934297047,0.8802614625144176,128.08,8.72,111.76
29,0,393.6296296296296,67.50617283950618,81.0,44.828427124746185,0.9817326653538169,0.558591924213314,128.14814814814815,13.518518518518519,70.90123456790124
29,4,416.5333333333333,70.46666666666667,60.0,39.10660171779821,0.9630811650174458,0.8924304327395444,128.16666666666666,8.733333333333333,113.26666666666667
29,23,419.375,90.125,16.0,12.82842712474619,0.7135452440406593,0.6772426470588235,137.6875,4.75,82.875
30,0,419.6857142857143,70.57142857142857,35.0,24.48528137423857,0.8690682262010362,0.9011274721653365,128.22857142857143,8.742857142857142,114.34285714285714
30,19,446.53333333333336,81.06666666666666,15.0,13.278174593052023,0.9059366773240721,0.728241753171857,128.8,0.6666666666666666,92.2
30,20,451.92857142857144,84.85714285714286,28.0,19.14213562373095,0.901511641078208,0.6440003452361337,128.57142857142858,4.285714285714286,81.60714285714286
31,1,451.7,84.7,30.0,20.384776310850235,0.9121550721779098,0.64480492118416,128.6,4.0,81.7
31,3,456.06666666666666,90.6,15.0,13.071067811865476,0.6462140189733957,0.7235026528258361,128.8,11.866666666666667,91.6
35,3,87.84848484848484,109.96969696969697,33.0,22.384776310850235,0.9103471695715252,0.6503995602454238,128.36363636363637,5.0,82.48484848484848
35,4,82.73913043478261,116.34782608695653,23.0,16.65685424949238,0.7829487836462615,0.6873439545209091,128.6086956521739,0.0,87.08695652173913
36,9,104.1875,72.625,16.0,13.071067811865476,0.7961649035520006,0.34664792387543253,128.875,53.75,87.75
36,10,102.61111111111111,77.27777777777777,18.0,13.071067811865476,0.7226591383582849,0.37037891409287016,128.66666666666666,36.666666666666664,93.83333333333333
36,11,100.3913043478261,82.08695652173913,23.0,16.65685424949238,0.8146319572685627,0.6784218662445518,128.6086956521739,21.52173913043478,85.95652173913044
36,13,97.94117647058823,88.29411764705883,17.0,14.071067811865476,0.7277390436571729,0.6647838667321193,128.58823529411765,19.41176470588235,84.23529411764706
36,14,96.0625,92.875,16.0,13.242640687119284,0.6385656626059881,0.4985101883890811,128.25,0.0,63.25
36,16,93.70588235294117,101.35294117647058,17.0,13.071067811865474,0.740856246987765,0.373122182179066,128.8235294117647,39.411764705882355,94.47058823529412
36,18,87.84848484848484,109.96969696969697,33.0,22.384776310850235,0.9103471695715252,0.6503995602454238,128.36363636363637,5.0,82.48484848484848
36,19,82.73913043478261,116.34782608695653,23.0,16.65685424949238,0.7829487836462615,0.6873439545209091,128.6086956521739,0.0,87.08695652173913
36,24,122.33333333333334,122.0,15.0,12.48528137423857,0.5504818825631802,0.5784038617625701,141.93333333333334,3.066666666666667,69.66666666666667
37,9,104.1875,72.625,16.0,13.071067811865476,0.7961649035520006,0.34664792387543253,128.875,53.75,87.75
37,10,102.61111111111111,77.27777777777777,18.0,13.071067811865476,0.7226591383582849,0.37037891409287016,128.66666666666666,36.666666666666664,93.83333333333333
37,11,100.3913043478261,82.08695652173913,23.0,16.65685424949238,0.8146319572685627,0.6784218662445518,128.6086956521739,21.52173913043478,85.95652173913044
37,13,97.83333333333333,88.27777777777777,18.0,14.071067811865476,0.6544379172197784,0.6558282901638022,128.55555555555554,18.333333333333332,83.11111111111111
37,23,122.33333333333333,122.0,15.0,12.48528137423857,0.5504818825631802,0.5784038617625701,141.93333333333334,3.066666666666667,69.66666666666667
