patch_id,papilla_id,x,y,size,perimeter,eccentricity,redness_score,a_channel,hue,saturation
142,0,244.0,295.6875,64.0,38.071067811865476,0.9685174806813144,0.2953645232602845,128.9375,52.734375,74.75
142,17,233.73333333333335,314.6666666666667,15.0,12.863961030678928,0.6214684395384505,0.31170944508522364,141.53333333333333,173.86666666666667,75.2
142,18,240.8235294117647,314.11764705882354,17.0,14.278174593052022,0.7007687182161124,0.31081992685804904,141.05882352941177,175.47058823529412,75.11764705882354
142,23,216.64705882352942,315.2352941176471,17.0,13.071067811865474,0.6637929118541087,0.21603242830479097,129.05882352941177,73.88235294117646,54.64705882352941
143,0,244.0,295.6875,64.0,38.071067811865476,0.9685174806813144,0.2953645232602845,128.9375,52.734375,74.75
143,15,276.7313432835821,303.3134328358209,67.0,39.89949493661167,0.974824786980625,0.6827099229874486,128.98507462686567,23.582089552238806,86.3731343283582
143,24,233.73333333333332,314.6666666666667,15.0,12.863961030678928,0.6214684395384505,0.31170944508522364,141.53333333333333,173.86666666666667,75.2
143,25,240.8235294117647,314.11764705882354,17.0,14.278174593052022,0.7007687182161124,0.31081992685804904,141.05882352941177,175.47058823529412,75.11764705882354
144,1,305.6842105263158,298.22105263157897,95.0,58.14213562373095,0.9884051136590315,0.33862386020292645,128.7578947368421,41.93684210526316,85.7578947368421
144,6,290.5,300.2,20.0,15.242640687119284,0.6646385826371365,0.3000172241445597,129.2,41.0,75.85
144,11,276.7313432835821,303.3134328358209,67.0,39.89949493661167,0.974824786980625,0.6827099229874486,128.98507462686567,23.582089552238806,86.3731343283582
145,0,307.64285714285717,298.5357142857143,112.0,67.79898987322333,0.9905706783367652,0.3233876736969297,128.75,40.92857142857143,81.90178571428571
145,1,290.09090909090907,300.54545454545456,22.0,16.035533905932738,0.7379550312509581,0.3094687675750903,129.0909090909091,30.90909090909091,78.27272727272727
145,11,338.26666666666665,312.8,15.0,12.071067811865474,0.3515255321394728,0.3064305181767697,128.33333333333334,21.666666666666668,38.86666666666667
146,11,338.26666666666665,312.8,15.0,12.071067811865474,0.3515255321394728,0.3064305181767697,128.33333333333334,21.666666666666668,38.86666666666667
158,6,213.77777777777777,318.6666666666667,18.0,15.899494936611665,0.7441914589213313,0.2135640138408304,129.16666666666666,77.83333333333333,54.0
