patch_id,papilla_id,x,y,size,perimeter,eccentricity,redness_score,a_channel,hue,saturation
9,2,322.5,60.0,32.0,23.656854249492383,0.9669875568304563,0.5542606209150327,128.0625,10.3125,70.375
9,5,330.8333333333333,61.05555555555556,18.0,14.242640687119286,0.899994626486704,0.3872124206739099,128.77777777777777,55.44444444444444,98.05555555555556
10,0,323.3478260869565,59.95652173913044,23.0,17.414213562373096,0.9323354633378729,0.48201929023954,128.0,0.0,61.21739130434783
10,1,330.5,61.0,20.0,15.65685424949238,0.9187795405622853,0.3811516339869281,128.7,58.15,96.55
11,1,393.5,61.0,26.0,19.65685424949238,0.950738609662984,0.27134652352645433,128.0,6.923076923076923,34.46153846153846
12,1,393.5,61.0,26.0,19.65685424949238,0.950738609662984,0.27134652352645433,128.0,6.923076923076923,34.46153846153846
13,1,59.5,91.25,16.0,12.485281374238571,0.6813851438692469,0.42174548250672816,128.0,2.8125,53.5625
14,2,59.5,91.25,16.0,12.485281374238571,0.6813851438692469,0.42174548250672816,128.0,2.8125,53.5625
14,4,73.03999999999999,91.4,25.0,18.48528137423857,0.8838397430081716,0.7552576762783544,128.64,14.2,95.68
14,5,86.41666666666666,91.41666666666666,72.0,41.41421356237309,0.9790951062641244,0.7143335184473206,128.66666666666666,5.611111111111111,90.48611111111111
15,17,73.03999999999999,91.4,25.0,18.48528137423857,0.8838397430081716,0.7552576762783544,128.64,14.2,95.68
15,18,87.4375,91.4,80.0,45.65685424949238,0.9832465099295822,0.740716089965398,128.675,7.25,93.825
16,0,156.26086956521738,72.69565217391305,23.0,16.242640687119284,0.8419226827260189,0.3659295792152066,128.69565217391303,49.56521739130435,92.69565217391305
16,1,147.7,74.65,20.0,14.242640687119284,0.757968936912551,0.8223827758554403,128.6,1.25,104.2
16,5,140.0263157894737,75.60526315789474,38.0,23.656854249492383,0.9229989932052493,0.7435646847952152,128.89473684210526,21.842105263157894,94.10526315789474
16,7,129.5,76.875,16.0,12.828427124746192,0.8696263565463043,0.7233477508650519,128.5,11.25,91.6875
17,0,156.41666666666666,72.70833333333334,24.0,17.071067811865476,0.8660261961464066,0.3611687812379853,128.66666666666666,47.5,91.5
17,4,147.7,74.65,20.0,14.242640687119284,0.757968936912551,0.8223827758554403,128.6,1.25,104.2
17,10,140.0263157894737,75.60526315789474,38.0,23.656854249492383,0.9229989932052493,0.7435646847952152,128.89473684210526,21.842105263157894,94.10526315789474
17,14,170.04761904761904,78.42857142857143,21.0,15.899494936611665,0.8094416306811957,0.8749274001539614,128.38095238095238,17.857142857142858,110.95238095238095
17,15,181.85,80.75,60.0,40.242640687119284,0.9851600842870897,0.9038337049852619,128.53333333333333,2.8833333333333333,114.55
18,11,212.16666666666666,76.05555555555556,18.0,14.242640687119286,0.899994626486704,0.6311697780056106,128.33333333333334,1.6666666666666667,80.05555555555556
18,14,170.04761904761904,78.42857142857143,21.0,15.899494936611665,0.8094416306811957,0.8749274001539614,128.38095238095238,17.857142857142858,110.95238095238095
18,16,183.77777777777777,80.77777777777777,72.0,48.656854249492376,0.9897465225047081,0.8876528258362169,128.5,2.8194444444444446,112.51388888888889
